選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"加藤　大和","北海道日本ハムファイターズ","愛知","A","3","260万円（推定）","長身から投げ込む直球が魅力の育成サウスポー。高卒2年目の昨季は二軍で10試合に登板。精彩を欠く投球が目立ったものの、貴重な実戦経験を重ねた。今季は課題とするコントロールを磨き、支配下登録へ向けて結果を残したい。"
"平沢　大河","埼玉西武ライオンズ","宮城","A","11","1,400万円（推定）","選球眼が売りのユーティリティー。昨季は新戦力として期待されたものの、開幕直前に急性腰痛で離脱。復帰後は二軍で持ち味を発揮するも、一軍ではわずか1安打に終わった。背水の陣で臨む今季は結果を残し、チームの戦力となりたい。"
"益子　京右","横浜DeNAベイスターズ","栃木","A","8","560万円（推定）","パワフルな打撃が魅力のキャッチャー。昨季は二軍で67試合に出場し、5本塁打をマーク。パンチ力をアピールするも、一軍での出番は前年に続いてゼロに終わった。今季はキャンプから結果を残し続け、存在感を高めたい。"
"中村　優斗","東京ヤクルトスワローズ","長崎","O","2","1,700万円（推定）","威力抜群の直球が武器の右腕。即戦力ルーキーとして期待された昨季は、コンディション不良の影響で開幕二軍スタート。7月にプロ初勝利を挙げるも、一軍の登板は4試合にとどまった。今季は本領を発揮し、チームの力となりたい。"
"藤田　健斗","阪神タイガース","滋賀","A","7","540万円（推定）","安定した送球に定評のある捕手。6年目の昨季は二軍で45試合に出場。盗塁阻止率.548をマークしたものの、打撃面では打率.182と振るわなかった。今季は課題とするバッティングを磨き、一軍デビューを目指す。"
"平口　寛人","埼玉西武ライオンズ","愛知","B","1","","キレのある直球をコースに投げ分ける育成新人サウスポー。大学4年秋のリーグ戦では先発と救援でフル回転し、10試合すべてに登板。5勝を挙げてベストナインに輝いた。プロでも持ち前の制球力をアピールし、早期の支配下登録を目指す。"
"並木　秀尊","東京ヤクルトスワローズ","埼玉","B","6","1,600万円（推定）","並外れた脚力を誇る外野手。昨季はシーズン中盤にスタメンの機会を増やすも、夏場にコンディション不良で離脱。9月の一軍復帰後は打率3割超えと再び存在感を示した。今季は年間を通して万全の状態を保ち、定位置確保を目指す。"
"林　琢真","横浜DeNAベイスターズ","愛知","A","4","3,100万円（推定）","粘り強い打撃と軽快な守備が売りの内野手。昨季はキャリアハイの95試合に出場し、打率.244をマーク。プロ初を含む2本塁打を放つなど、バッティングで成長を示した。今季は春先から結果を残し続け、レギュラー争いを勝ち抜きたい。"
"早坂　響","千葉ロッテマリーンズ","千葉","A","3","710万円（推定）","思い切りの良いピッチングが売りの若手右腕。高卒2年目の昨季は一軍デビューを果たし、9試合に登板。防御率7点台とプロの壁にはね返されたが、貴重な経験を積んだ。今季はすべての面でレベルアップを図り、出番を増やしたい。"
"岸　孝之","東北楽天ゴールデンイーグルス","宮城","A","20","18,000万円（推定）","正確無比なコントロールが魅力のベテラン右腕。昨季は防御率4.38と苦戦するも、チーム2位の投球イニングを記録した。節目の20年目を迎える今季も熟練の投球術を披露し、先発ローテーションを支える。"
"郡　拓也","読売ジャイアンツ","東京","B","10","840万円（推定）","捕手登録ながら内外野もこなすユーティリティー。昨季は二軍で打率.211とアピール不足に終わり、一軍での出場は3試合のみに終わった。10年目を迎える今季は自身の持ち味を発揮し、出番を少しでも増やしたい。"
"小林　誠司","読売ジャイアンツ","大阪","O","13","4,000万円（推定）","優れたリーダーシップに定評があるベテランキャッチャー。昨季は甲斐の加入もあって、プロ入り後初となる開幕二軍スタート。一軍の出場はわずか14試合にとどまった。今季は豊富な経験を生かし、存在感を示したい。"
"菊地　ハルン","広島東洋カープ","千葉","A","2","550万円（推定）","恵まれた体格から角度のついた速球を投げ込む右腕。高卒1年目の昨季は二軍で10試合に登板。9月には一軍デビューを果たすなど、実りあるシーズンを送った。今季は球速の向上に取り組み、さらなるスケールアップを目指す。"
"及川　雅貴","阪神タイガース","千葉","O","7","10,000万円（推定）","昨季はリーグトップの66試合に救援登板し、防御率0.87をマーク。NPB新記録となる18試合連続ホールドを達成するなど、抜群の安定感を見せた。今季も切れ味鋭いスライダーとカットボールを操り、勝利のバトンをつなぎたい。"
"工藤　泰己","広島東洋カープ","北海道","O","1","","160キロに迫る快速球が光る剛腕ルーキー。大学4年春のリーグ戦では4試合に登板。計17イニングを投げて30奪三振を記録する好投を見せ、チームの優勝に貢献した。唯一無二の存在となるべく、1年目から一軍登板を重ねたい。"
"京本　眞","読売ジャイアンツ","大阪","A","5","440万円（推定）","角度のあるボールを投げ下ろす右腕。昨季は二軍で5試合に登板するも、防御率6.65と振るわず。8月にはトミー・ジョン手術を受け、以降はリハビリに励んだ。育成契約となって臨む今季は患部の回復に努め、早期の実戦復帰を目指す。"
"是澤　涼輔","埼玉西武ライオンズ","三重","AB","4","400万円（推定）","鋭い送球が魅力の育成キャッチャー。昨季は二軍で32試合に出場。バッティングは好不調の波が激しく、年間では打率.225にとどまった。今季はシーズンを通して安定したパフォーマンスを見せ、支配下登録を勝ち取りたい。"
"草加　勝","中日ドラゴンズ","岡山","A","3","1,100万円（推定）","鋭く落ちるツーシームを操る右腕。昨季は前年に受けた右肘手術のリハビリを終え、4月に二軍で実戦復帰。シーズン最終戦で一軍デビューを果たすなど、順調なステップを踏んだ。今季は春先から結果を残し、先発陣の一翼に食い込みたい。"
"山田　哲人","東京ヤクルトスワローズ","兵庫","O","16","50,000万円（推定）","昨季は故障による離脱があったものの、12年連続となる2ケタ本塁打をマーク。7月には通算305号を放ち、今季から一軍の指揮を執る池山監督の球団記録を更新した。チームを上位進出へ導くべく、中心選手として野手陣を引っ張る。"
